UID,WID,Understand,attempt,time,distance
60910103,61,3,1,30653,5605.58
60910103,67,4,1,28201,4286.12
60910103,68,3,1,29856,4286.66
60910103,76,2,1,80112,6664.73
60910103,89,3,1,83164,13466.8
60910103,92,4,1,41728,4730.52
60910103,99,4,1,40814,8579.06
60910103,127,4,1,78229,10757.4
60910103,129,4,1,22996,5279
60910103,138,2,1,61968,6032.89
60910103,139,3,1,63143,8660.95
60910103,141,3,1,62360,9850.59
60910103,143,4,1,17288,3290.28
60910103,147,3,1,81607,12335
60910103,160,3,1,60783,12391.9
60910103,161,3,1,98993,15411.1
60910103,162,4,1,27833,3396.08
60910103,176,3,1,63249,8016.84
60910103,181,3,1,44471,8027.93
60910103,184,3,1,97613,8789.25
60910103,186,3,1,76744,9089.35
60910103,191,4,1,18720,4299.82
60911041,22,4,1,17674,4418.94
60911041,32,4,1,15912,3750.26
60911041,45,2,1,61683,5158.87
60911041,46,4,1,16989,3362.79
60911041,54,3,1,28608,5809.17
60911041,58,2,1,35004,6155.91
60911041,59,2,1,38253,4947.94
60911041,60,2,1,39102,5706.89
60911041,61,3,1,44217,8260.63
60911041,67,3,1,26530,4846.22
60911041,68,3,1,28356,3947.13
60911041,76,2,1,102047,13285.9
60911041,89,2,1,159621,15579.8
60911041,92,4,1,71704,6779.61
60911041,99,4,1,18034,5077.09
60911041,127,2,1,110965,12000.4
60911041,129,2,1,74286,6588.28
60911041,138,2,1,44440,8232.92
60911041,139,4,1,29504,5808.55
60911041,141,2,1,54607,7539.91
60911041,143,4,1,14852,3316.2
60911041,147,2,1,177117,20554.2
60911041,160,2,1,100197,7853.09
60911041,161,3,1,45683,8371.37
60911041,162,3,1,26051,3922.87
60911041,176,4,1,32924,4843.92
60911041,181,3,1,47218,6107.46
60911041,184,2,1,47991,5182.5
60911041,186,3,1,28471,6330.85
60911041,191,3,1,31532,4249.04
60911043,22,4,1,16272,3038.73
60911043,32,4,1,17080,3139.72
60911043,45,3,1,31835,3662.34
60911043,46,4,1,21912,3093.58
