UID,WID,Understand,attempt,time,distance,totalStopTime
90910038,76,3,1,46440,5947.47,19252
90910038,89,4,1,30419,6038.1,8116
90910038,92,3,1,39729,5171.56,15827
90910038,99,4,1,23169,4144.5,7167
90910038,127,2,1,65884,15046.4,22692
90910038,129,4,1,37895,9229.77,9622
90910038,138,3,1,21772,4371.91,4638
90910038,139,3,1,56999,8354.81,18843
90910038,141,3,1,59145,10839.7,19735
90910038,143,4,1,11898,2798.99,2443
90910038,147,2,1,278482,29707.6,137312
90910038,160,3,1,37965,6921.13,14160
90910038,161,3,1,62049,7618.16,22608
90910038,162,4,1,15299,3485.21,5968
90910038,176,4,1,19291,4254.44,5280
90910038,181,4,1,28832,4912.3,5771
90910038,184,3,1,42197,5406.7,16528
90910038,186,3,1,51796,7555.35,18004
90910038,191,3,1,59584,11873.5,14486
