UID,WID,Understand,attempt,time,distance,averageSpeed,maxSpeed,maxStopTime,stopcount,xUTurnCount,yUTurnCount,thinkingTime,answeringTime,maxDDTime,DDCount,maxDDIntervalTime,totalDDIntervalTime
90910001,22,4,1,12648,3631.6,0.287129,2566.38,497,0,10,9,1721,10927,911,7,895,4745
90910001,32,4,1,24247,6008.45,0.247802,4913.42,910,6,22,7,2775,21472,1016,8,8783,13474
90910001,45,3,1,50710,8384.04,0.165333,5722.38,1952,4,33,16,5675,45035,1769,10,12919,24872
90910001,46,3,1,50908,6041.26,0.11867,5499.12,5963,11,23,14,14371,36537,1088,7,24449,30287
90910001,54,4,1,43296,8023.56,0.185319,7468.64,6769,5,29,22,19931,23365,1448,12,3311,11594
90910001,58,2,1,56560,11794,0.208521,9908.09,4202,5,30,21,3372,53188,2904,13,13280,35191
90910001,59,3,1,28233,6628.38,0.234774,4269.6,1228,1,23,17,5210,23023,1024,9,3888,11441
90910001,60,4,1,37090,7183.03,0.193665,6215.46,2666,4,21,16,2361,34729,1552,14,7431,22604
90910001,61,2,1,66304,13000.7,0.196077,11861.4,1793,7,36,34,10735,55569,3705,19,11367,35150
90910001,67,4,1,11735,2932.85,0.249923,2440.3,319,0,14,6,2822,8913,697,7,1016,4022
90910001,68,3,1,32613,5136.87,0.15751,4155.89,2409,11,9,12,4083,28530,3298,9,2815,9557
90910001,76,2,1,94912,13970.8,0.147197,13470.1,5160,21,40,29,19128,75784,3657,17,12457,57158
90910001,89,4,1,26345,6516.38,0.247348,5789.54,1712,6,23,21,11120,15225,1489,10,1255,6993
90910001,92,4,1,27353,7520.07,0.274927,5072.55,952,3,25,18,3170,24183,1657,12,4047,12534
90910001,99,3,1,39530,7245.3,0.183286,5265.56,1792,7,18,14,6968,32562,3169,10,4872,12651
90910001,127,3,1,52459,8694.71,0.165743,6460.08,2550,6,26,17,9505,42954,2002,12,22502,29302
90910001,129,3,1,27940,5191.59,0.185812,4302.24,1853,7,16,13,4411,23529,858,9,2199,8006
90910001,138,3,1,27801,5482.89,0.197219,4306.74,785,1,18,13,3192,24609,921,9,6721,17142
90910001,139,2,1,85954,15073.8,0.17537,11554.9,8752,7,43,27,4945,81009,2528,17,25662,66155
90910001,141,2,1,79002,9918.19,0.125543,9425.15,10112,18,33,17,9623,69379,2024,11,22479,58332
90910001,143,4,1,11801,2834.16,0.240163,2309.61,367,0,10,8,2584,9217,1200,7,783,3599
90910001,147,2,1,99009,15991.4,0.161515,15149.1,5838,21,40,37,27120,71889,4338,18,10984,46544
90910001,160,2,1,63956,9186.94,0.143645,6506.99,3080,21,22,20,3932,60024,2017,11,13214,42901
90910001,161,2,1,189415,24979.9,0.131879,21422.4,2733,21,99,54,12937,176478,3346,29,32813,133250
90910001,162,4,1,16688,3632.65,0.217681,3075.29,2960,1,15,11,2389,14299,600,7,6408,9749
90910001,176,4,1,33585,6942.99,0.206729,5916.81,1193,3,27,24,2049,31536,1641,10,8079,19089
90910001,181,2,1,43263,7296.68,0.168659,5371.19,2353,7,20,14,3061,40202,4953,13,4096,16270
90910001,184,3,1,47542,7175.54,0.150931,4668.45,3993,11,31,25,4431,43111,1505,9,20398,29924
90910001,186,2,1,58609,9998.3,0.170593,8311.34,3111,6,26,19,10705,47904,4040,11,17367,30584
90910001,191,4,1,30977,5238.18,0.169099,3754.08,2593,7,19,11,3216,27761,4193,8,8904,14137
90910004,22,4,1,14320,3722.5,0.259951,3226.93,653,1,15,12,1456,12864,664,7,2479,7611
90910004,32,4,1,17979,4200.29,0.233622,2713.41,651,3,11,13,3731,14248,808,8,3080,8660
90910004,45,3,1,22104,4973.99,0.225027,3065.21,848,3,15,19,4600,17504,746,9,3207,8717
90910004,46,4,1,37110,7994.05,0.215415,7124.02,833,3,27,31,3102,34008,4264,11,6767,21041
90910004,54,3,1,25207,6199.14,0.245929,3510.82,2033,1,20,13,8497,16710,1026,9,2943,9668
90910004,58,4,1,41295,8019.31,0.194196,7306.7,1344,5,30,31,3783,37512,1394,10,11015,29467
90910004,59,4,1,16025,4412.94,0.275378,3966.61,888,1,13,15,5938,10087,410,7,3559,6827
90910004,60,4,1,20128,3588.46,0.178282,2740.37,743,2,18,13,1168,18960,1001,8,5575,14211
